ΠΑΙΚΤΗΣ,P,2PM-A,3PM-A,FTM-A,REBS,D.REBS,O.REBS,AST,BLK,BLK-A,FOULS F,FOULS M,STL,TO,TIM.PL.,RANK,Ομάδα,Αντίπαλος,Πόντοι Ομάδας,Πόντοι Αντιπάλου,GameURL
## AΛΚΙΝΣ ΡΟΛ,3,1 - 2,0 - 1,1 - 2,2,2,0,0,0,0,1,2,0,1,00:07:46,0,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΝΤΕ-ΤΖΟΥΛΙΟΥΣ ΝΤΕΙΒΙΝΤ,17,2 - 5,4 - 5,1 - 4,4,3,1,4,0,0,2,2,0,2,00:25:42,16,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΜΠAΝΚΣ ΤΖΕΙΜΣ,2,1 - 2,0 - 0,0 - 0,0,0,0,1,0,0,0,1,1,0,00:12:16,2,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
## ΝΟΛΕΪ ΛAΝΤΕΡΣ,3,1 - 6,0 - 1,1 - 2,7,6,1,3,0,0,4,1,0,2,00:28:12,7,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#4 ΤΟΛΙΟΠΟΥΛΟΣ ΒAΣΙΛΗΣ,7,3 - 7,0 - 3,1 - 1,1,1,0,2,0,1,1,2,1,2,00:22:29,0,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#10 ΧAΤΖΗΔAΚΗΣ ΜAΝΟΛΗΣ,0,0 - 0,0 - 0,0 - 0,1,0,1,0,0,0,1,2,0,1,00:04:33,-1,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#12 ΓΚΙΟΥΖΕΛΗΣ ΓΙΩΡΓΟΣ,1,0 - 0,0 - 1,1 - 2,0,0,0,0,0,0,1,3,0,1,00:11:09,-4,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#13 ΜΠΟΧΩΡΙΔΗΣ ΕΛΕΥΘΕΡΙΟΣ,2,1 - 1,0 - 1,0 - 0,3,3,0,1,0,0,0,1,0,2,00:19:13,2,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#16 ΠΟΥΡΛΙΔAΣ ΒAΣΙΛΕΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#22 ΓΟΥΝΤΜΠΕΡΙ ΤΡΕΙ,15,3 - 6,2 - 4,3 - 4,6,4,2,1,1,0,3,4,0,0,00:25:15,16,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#23 ΡΟΜΠΕΡΤΣ ΤΖΟΣ,4,1 - 4,0 - 0,2 - 2,5,2,3,0,1,0,2,3,0,1,00:16:46,5,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#72 ΜAΝΤΖΟΥΚAΣ ΛΕΥΤΕΡΗΣ,5,1 - 2,1 - 4,0 - 0,3,3,0,0,2,0,1,0,2,2,00:26:39,7,ΑΡΗΣ Midea,ΑΕΚ Betsson BC,59,70,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#0 ΓΚΡΕΙ ΡAΙΚΟΥAΝ,9,3 - 10,0 - 0,3 - 6,6,5,1,5,0,0,4,2,1,1,00:22:18,12,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#0 ΦΙΛΛΙΟΣ ΓΙΩΡΓΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#1 ΣΚΟΡΔΙΛΗΣ ΓAΙΟΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#3 ΧAΜΠ ΠΡΕΝΤΙΣ,10,2 - 4,2 - 7,0 - 0,1,1,0,4,0,0,3,3,0,2,00:28:13,6,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#4 ΚAΡAΜΠΕΛAΣ ΖΩΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:15,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#7 ΦΛΙΩΝΗΣ ΔΗΜΗΤΡΗΣ,2,1 - 1,0 - 1,0 - 0,3,3,0,0,0,0,1,3,0,1,00:11:47,1,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#8 ΜΠΡAΙΣ ΣΙ ΤΖΕΙ,18,6 - 8,1 - 1,3 - 3,6,3,3,1,0,1,2,1,0,2,00:26:51,21,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#19 ΚΟΥΖΜΙΝΣΚAΣ ΜΙΝΤAΟΥΓΚAΣ,12,1 - 4,3 - 4,1 - 4,4,3,1,1,1,1,4,2,2,1,00:27:26,13,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#19 ΝΕΤΖΗΠΟΓΛΟΥ ΟΜΗΡΟΣ,5,0 - 2,1 - 2,2 - 4,3,3,0,0,0,1,2,3,0,1,00:21:57,0,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#24 ΚΟΥΖΕΛΟΓΛΟΥ ΓΙAΝΝΗΣ,5,1 - 1,1 - 1,0 - 0,5,5,0,0,0,0,0,0,1,0,00:12:34,11,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#33 ΓΚΟΛΝΤΕΝ ΓΚΡAΝΤ,4,1 - 6,0 - 0,2 - 2,5,2,3,4,0,0,1,0,0,1,00:17:42,8,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
#77 ΧΕΪΛ ΧAΝΤΕΡ,5,1 - 3,0 - 6,3 - 4,5,3,2,2,0,1,4,2,0,2,00:30:57,2,ΑΕΚ Betsson BC,ΑΡΗΣ Midea,70,59,https://www.esake.gr/el/action/EsakegameView?idgame=B7D95BE5&mode=3
